"city","district","statetin","pincode","created_at","updated_at"
"Kurnool","Kurnool",37,518452,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Gonegandla","Kurnool",37,518463,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Kurnool","Kurnool",37,518466,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Kurnool","Kurnool",37,518220,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Kodumur","Kurnool",37,518464,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Kurnool","Kurnool",37,518411,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Kurnool","Kurnool",37,518467,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Kurnool","Kurnool",37,518405,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Kurnool","Kurnool",37,518401,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Kurnool","Kurnool",37,518401,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Kurnool","Kurnool",37,518442,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Peapally","Kurnool",37,518221,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Kurnool","Kurnool",37,518468,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Pagidyala","Kurnool",37,518412,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Kurnool","Kurnool",37,518598,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Kurnool","Kurnool",37,518101,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Srisailam","Kurnool",37,518102,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Kurnool","Kurnool",37,518218,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Kurnool","Kurnool",37,518216,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Kurnool","Kurnool",37,518010,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Kurnool","Kurnool",37,518005,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Kurnool","Kurnool",37,518001,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Kurnool","Kurnool",37,518004,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Kurnool","Kurnool",37,518001,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Kurnool","Kurnool",37,518001,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Krishna","Krishna",37,521180,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Krishna","Krishna",37,521250,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Vijayawada (Urban)","Krishna",37,520008,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Krishna","Krishna",37,521229,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Krishna","Krishna",37,521246,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Krishna","Krishna",37,521164,"2018-06-30 22:47:43","2018-06-30 22:47:43"
